-0.019593, -0.004160, 0.000511, 0.004292
-0.631373, 0.396780, 0.282351, 0.000544
0.789884, -0.504812, 0.226909, 0.000015
-0.476056, 0.782637, 0.353552, 0.000026
-0.078959, -0.131495, 0.482497, 0.389866
-0.200630, -0.267415, 0.260660, 0.539901
-0.391898, -0.243461, 0.116901, 0.040615
0.066910, -0.385173, 0.301004, 0.193611
-0.043987, -0.034072, 0.604922, 0.090493
0.149596, -0.171340, 0.526794, 0.129703
-0.535529, -0.117789, 0.643213, 0.001143
0.218240, 0.286500, -0.085181, 0.159501
-0.104998, 0.364124, 0.230522, 0.291265
-0.453315, -0.153073, 0.281088, 0.052767
0.097070, -0.193768, -0.052010, 0.961257
-0.188401, -0.629269, -0.236395, 0.002491
0.097304, 0.195475, 0.430920, 0.482200
-0.193815, -0.261295, -0.919954, 0.000198
-0.008659, 0.018046, -0.529486, 0.300669
-0.366614, 0.524832, -0.700707, 0.000190
-0.301158, 0.020114, -0.433676, 0.207478
-0.010890, -0.072388, -0.580593, 0.127033
-0.188348, 0.356309, 0.186695, 0.188880
-0.217214, 0.869027, -0.341119, 0.000038
0.016373, 0.039731, 0.681482, 0.027633
0.155464, 0.048448, 0.586615, 0.082999
-0.013768, 0.256092, 0.110823, 1.499775
-0.322304, -0.060906, 0.422428, 0.174254
-0.492688, -0.105947, 0.486315, 0.010109
0.354643, 0.602840, -0.347954, 0.001122
-0.341927, 0.241649, -0.584151, 0.010306
-0.467184, -0.025807, -0.507574, 0.013304
-0.378115, -0.142747, -0.802482, 0.000650
0.021399, 0.361362, 0.173384, 0.365811
0.464838, -0.121649, 0.123994, 0.031137
-0.724381, 0.268841, -0.399688, 0.000277
-0.215060, -0.867853, 0.066813, 0.000005
-0.251328, 0.442696, -0.231267, 0.032985
-0.092330, -0.486995, -0.826173, 0.000202
0.372960, 0.025315, -0.475903, 0.058510
0.043502, -0.254477, 0.892050, 0.000454
0.418283, 0.287753, -0.245352, 0.033939
0.009111, 0.006932, 0.002419, 0.112604
0.200806, -0.851980, 0.232585, 0.000048
-0.059927, 0.078248, 0.798142, 0.003822
0.266365, -0.537840, -0.468662, 0.002955
-0.251085, -0.182421, -0.551714, 0.046447
0.072318, 0.252959, -0.013915, 0.031950
-0.216817, -0.064114, 0.513814, 0.156107
0.148950, -0.275324, 0.438541, 0.174191
-0.069205, 0.273704, 0.750584, 0.003529
0.019404, -0.022349, -0.871596, 0.001263
-0.106608, -0.290388, -0.449473, 0.160814
-0.322033, 0.255477, 0.724007, 0.001840
-0.110638, 0.065296, 0.037708, 2.717023
-0.465653, -0.203503, -0.110135, 0.015682
-0.199784, -0.240023, 0.461849, 0.135622
0.368432, 0.193106, 0.904455, 0.000132
-0.462974, 0.030956, 0.612671, 0.004419
0.112300, -0.571723, 0.128133, 0.004990
-0.224892, -0.363332, -0.740599, 0.001259
0.158338, -0.376763, 0.348569, 0.113556
0.568534, 0.418585, -0.197819, 0.000899
-0.100973, 0.079449, 0.523337, 0.247711
-0.049424, -0.029564, -0.440801, 1.045436
0.385168, -0.088753, -0.609011, 0.009753
-0.292073, -0.448926, -0.431649, 0.010080
-0.003970, 0.078105, -0.814671, 0.003044
-0.056133, 0.019227, -0.574171, 0.144416
0.256322, 0.278649, 0.242868, 0.287295
0.046735, -0.213591, -0.458562, 0.340812
0.312908, 0.681236, -0.500919, 0.000239
-0.430491, 0.424420, 0.777771, 0.000119
0.024666, -0.044173, -0.666172, 0.034894
-0.058253, 0.057562, 0.000543, 0.001505
